trip_month,trip_day,trip_day_of_week,trip_hour,trip_duration,trip_distance,payment_type,pickup_zone,dropoff_zone,tip_bin
7,26,5,10,61,0,2,264,264,0
7,30,2,12,60,0,2,264,264,0
7,30,2,9,65,0,2,264,264,0
7,18,4,17,59,0,2,264,264,0
7,26,5,16,16,0,2,264,264,0
7,31,3,11,58,0,2,264,264,0
7,27,6,15,60,0,2,264,264,0
7,30,2,0,40,0,2,264,264,0
7,25,4,16,45,0,2,264,264,0
7,27,6,13,60,0,2,264,264,0
7,24,3,9,11,0,2,264,264,0
7,24,3,12,35,0,2,264,264,0
7,24,3,16,53,0,2,264,264,0
7,31,3,13,57,0,2,264,264,0
7,21,7,13,52,0,2,264,264,0
7,15,1,16,89,19.8,3,47,47,0
7,23,2,10,477,0,2,264,264,0
7,5,5,10,465,0,2,264,264,0
7,2,2,13,88,0,3,224,224,0
7,2,2,17,2268,13.5,2,119,265,0
7,8,1,9,98,0.1,2,249,249,0
7,11,4,16,21,0,2,138,138,0
7,24,3,15,170,0,3,161,161,0
7,16,2,10,3770,34.5,2,138,19,0
7,12,5,17,14,0,3,186,186,0
7,13,6,18,25,0,3,1,1,0
7,23,2,13,115,0,4,50,50,0
7,11,4,13,60,0,3,162,162,0
7,15,1,14,53,0.1,2,132,132,0
7,30,2,10,492,2.1,3,138,223,0
7,29,1,5,935,4.3,3,246,256,0
7,16,2,14,445,1.2,3,141,236,0
7,16,2,1,57,0,2,163,163,0
7,18,4,16,25,0,2,188,188,0
7,31,3,2,70,0,3,107,107,0
7,26,5,9,3,0,2,4,4,0
7,5,5,13,38,0.1,4,138,138,0
7,14,7,8,31,0,2,132,132,0
7,7,7,11,905,2.6,2,264,264,0
7,19,5,10,45,0,2,265,265,0
7,21,7,4,1904,25.3,4,137,265,0
7,10,3,4,89,0,3,1,1,0
7,29,1,2,23,0,4,33,33,0
7,10,3,4,243,0.3,3,1,1,0
7,17,3,13,62,0,3,90,90,0
7,13,6,14,69,0,3,138,138,0
7,23,2,3,5,0,3,114,114,0
7,8,1,19,34,0,3,138,138,0
7,12,5,12,10,0,1,265,265,0
7,23,2,10,90,0.3,2,48,48,0
7,27,6,22,2613,22.2,2,265,120,0
7,23,2,8,1344,3.1,3,226,161,0
7,29,1,17,61,0,3,100,230,0
7,14,7,23,268,0.8,3,132,132,0
7,26,5,1,37,0,3,233,233,0
